title,firstName,lastName,genre,ensemble,popular
Kaze no Toori Michi from Totoro,Joe,Hisaishi,Anime,v,f
Tabiji from The Wind Rises,Joe,Hisaishi,Anime,v,f
Princess Mononoke Theme,Joe,Hisaishi,Anime,v,f
Kimi ga Yobu Namae from Natsume Yuujinchou,Yoshimori,Mokoto,Anime,v,f
Lilium from Elfen Lied,,MOKA,Anime,v vp vc vh,f
Agitato from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Lamentoso from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Hyori Ittai from Hunter x Hunter,Yoshihisa,Hirano,Anime,v vp,f
Zoldyck Family Theme from Hunter x Hunter,Yoshihisa,Hirano,Anime,v vp,f
Kingdom of Predators from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Hisoka's Theme from Hunter x Hunter,Yoshihisa,Hirano,Anime,v,f
Sis Puella Magica from Madoka Magica,Yuki,Kajiura,Anime,v,f
Cruel Angel's Thesis from Evangelion,Yoko,Takahashi,Anime,v vp vc vh,f
Kimi no Shiranai Monogatari from Bakemonogatari,,Supercell,Anime,v,f
Bloody Stream from Jojo's Bizarre Adventure,,Coda,Anime,v,f
Itoshii Hito E from Seirei no Moribito,Sachi,Tainaka,Anime,v vp,f
Nyan Cat Theme,,Daniwell,Anime,v,f
Let Me Hear from Parasyte,,Fear and Loathing in Las Vegas,Anime,v,f
Realize from Re:Zero,Konomi,Suzuki,Anime,v,f
Hikaru Nara from Your Lie in April,,Goose House,Anime,v,f
Secret Base from Anohana,Norihiko,Machida,Anime,v,f
Ue o Muite Arukou,Kyu,Sakamoto,Kayokyoku,v,f
Ookina Furudokei,Ken,Hirai,Japanese Pop,v,f
Guren no Yumiya from Attack on Titan,,Linked Horizon,Anime,v,f
Jiyuu from Tsubasa from Attack on Titan,,Linked Horizon,Anime,v vp,f
Intermezzo,Pietro,Mascagni,Classical,v vc,f
Trumpet Voluntary,Henry,Purcell,Classical,v vc,f
Andante,Franz,Schubert,Classical,v vc,f
Make You Feel My Love,,Adele,Rock,v vc vp vh,f
Living on a Prayer,Bon,Jovi,Rock,v vc,f
Can't Take My Eyes Off of You,Franki,Valli,Rock,v vc vp vh,f
Angel,Jack,Johnson,Alternative/Indie,v vc,f
Take a Bow,,Madonna,Pop,v vc,f
For Once in My Life,Orlando,Murden,R&B,v vc,f
Every Breath You Take,,"Police, The",Rock,v vc,f
Gymnopedie No. 1,Erik,Satie,Classical,v vh vp,f
Entr'acte from Carmen,Georges,Bizet,Classical,v vh vp,f
Theme from West World,Ramin,Rjawadi,Film,v vh vp,f
La Valse d'Amelie,Yann,Tiersen,Film,v vh vp,f
Theme from Game of Thrones,Ramin,Rjawadi,Film,v vh vp,f
Concerning Hobbits,Howard,Shore,Film,v vh vp,f
To Know Him is to Love Him,Amy,Winehouse,Pop,v vh vp vc,f
"Gavotte from ""Mignon""",Ambroise,Thomas,Classical,v vp vc,f
Gavotte in G Minor,Johann Sebastian,Bach,Classical,v vp vc,f
Giguetta in C Major,Johann Sebastian,Bach,Classical,v vp vc,f
Ave Maria,,Bach-Gounod,Classical,v vp,f
Adagio Religioso,Carl,Bohm,Classical,v vp,f
Rococco - Gavotte Gracieuse,Carl,Bohm,Classical,v vp,f
Bourée,George Frideric,Handel,Classical,v vp,f
Adagio,Ole,Bull,Classical,v vp,f
Country Dance,Carl Maria von,Weber,Classical,v vp,f
Clarity,,Zedd,Electronic,v vp,f
Dango Daikazoku from Clannad,Jun,Maeda,Anime,v vp,f
Euterpe from Guilty Crown,,EGOIST,Anime,v vp vh,f
Light's Theme from Death Note,Hideki,Taniuchi,Anime,v vp,f
L's Theme from Death Note,Hideki,Taniuchi,Anime,v vp,f
Misa no Uta from Death Note,Hideki,Taniuchi,Anime,v vp,f
Sekai no Yakusoku from Howl's Moving Castle,Joe,Hisaishi,Anime,v vp,f
One Summer's Day from Spirited Away,Joe,Hisaishi,Anime,v vp vh,f
Main Theme from Laputa,Joe,Hisaishi,Anime,v vp vh,f
Days Long Gone from Nausicaa,Joe,Hisaishi,Anime,v vp vh,f
Osenchi na Ayumi from Detective Conan,Katsuo,Ono,Anime,v vp vh,f
Ai Haibara Theme from Detective Conan,Katsuo,Ono,Anime,v vp vh,f
